"url","name","type","cluster","indexable","gsc_28d_clicks","gsc_28d_impressions","gsc_28d_ctr","gsc_28d_position","gsc_row_present","google_crawled_not_indexed_report","blog_inbound_pages","product_inbound_pages","http_status","sitemap_lastmod"
"/kalkulyatory/fasad/zabor/","Калькулятор забора","calculator","Участок и терраса","true","0","6","0%","45","true","false","1","7","200","2026-05-25"
"/kalkulyatory/fundament/armatura/","Калькулятор арматуры","calculator","Бетон и фундамент","true","29","855","3.4%","9.2","true","false","0","5","200","2026-05-25"
"/kalkulyatory/fundament/beton/","Калькулятор бетона","calculator","Бетон и фундамент","true","9","438","2.1%","8.3","true","false","1","15","200","2026-05-25"
"/kalkulyatory/fundament/lentochnyy-fundament/","Калькулятор ленточного фундамента","calculator","Бетон и фундамент","true","21","1010","2.1%","9.8","true","false","2","4","200","2026-05-25"
"/kalkulyatory/fundament/otmostka/","Калькулятор отмостки","calculator","Бетон и фундамент","true","103","2509","4.1%","5.9","true","false","0","7","200","2026-05-25"
"/kalkulyatory/fundament/plitnyj-fundament/","Калькулятор плитного фундамента","calculator","Бетон и фундамент","true","","","","","false","true","1","3","200","2026-05-25"
"/kalkulyatory/fundament/podval-fundamenta/","Калькулятор монолитного подвала","calculator","Бетон и фундамент","true","14","240","5.8%","5.5","true","false","0","7","200","2026-05-25"
"/kalkulyatory/inzhenernye/drenazh-uchastka/","Калькулятор дренажа участка","calculator","Инженерные системы","true","0","10","0%","8.4","true","false","0","7","200","2026-05-25"
"/kalkulyatory/inzhenernye/elektrika/","Калькулятор электропроводки","calculator","Инженерные системы","true","0","8","0%","20.4","true","false","1","7","200","2026-05-25"
"/kalkulyatory/inzhenernye/otoplenie-radiatory/","Калькулятор радиаторов отопления","calculator","Инженерные системы","true","","","","","false","true","0","6","200","2026-05-25"
"/kalkulyatory/inzhenernye/septik-iz-kolets/","Калькулятор септика из железобетонных колец","calculator","Инженерные системы","true","3","44","6.8%","8.1","true","false","0","2","200","2026-05-25"
"/kalkulyatory/inzhenernye/septik/","Калькулятор септика","calculator","Инженерные системы","true","1","7","14.3%","12.6","true","false","0","3","200","2026-05-25"
"/kalkulyatory/inzhenernye/teplyy-pol/","Калькулятор электрического тёплого пола","calculator","Стяжка и тёплый пол","true","","","","","false","true","2","8","200","2026-05-25"
"/kalkulyatory/inzhenernye/ventilyaciya/","Калькулятор вентиляции","calculator","Инженерные системы","true","0","3","0%","6.7","true","false","1","4","200","2026-05-25"
"/kalkulyatory/inzhenernye/vodyanoy-teplyy-pol/","Калькулятор водяного тёплого пола","calculator","Стяжка и тёплый пол","true","1","124","0.8%","42.9","true","false","2","6","200","2026-05-25"
"/kalkulyatory/krovlya/krovlya/","Калькулятор материалов кровли","calculator","Кровля и водосток","true","1","35","2.9%","12.9","true","false","1","5","200","2026-05-25"
"/kalkulyatory/krovlya/myagkaya-krovlya/","Калькулятор мягкой кровли","calculator","Кровля и водосток","true","1","107","0.9%","13.5","true","false","0","4","200","2026-05-25"
"/kalkulyatory/krovlya/vodostok/","Калькулятор водосточной системы","calculator","Кровля и водосток","true","0","106","0%","14.2","true","false","1","2","200","2026-05-25"
"/kalkulyatory/otdelka/dekorativnyj-kamen/","Калькулятор декоративного камня","calculator","Комплексная отделка помещений","true","7","113","6.2%","6.9","true","false","0","4","200","2026-05-25"
"/kalkulyatory/otdelka/gidroizolyaciya-vlagozaschita/","Калькулятор гидроизоляции","calculator","Плитка и мокрые зоны","true","8","1209","0.7%","8.4","true","false","0","9","200","2026-05-25"
"/kalkulyatory/otdelka/gruntovka/","Калькулятор грунтовки","calculator","Штукатурка и малярная отделка","true","0","1363","0%","15.9","true","false","7","22","200","2026-05-25"
"/kalkulyatory/otdelka/kalkulyator-lestnicy/","Калькулятор прямой лестницы","calculator","Комплексная отделка помещений","true","2","264","0.8%","33.9","true","false","0","0","200","2026-05-25"
"/kalkulyatory/otdelka/kraska/","Калькулятор краски","calculator","Штукатурка и малярная отделка","true","","","","","false","true","2","18","200","2026-05-25"
"/kalkulyatory/otdelka/krepezh/","Калькулятор крепежа","calculator","Линейный раскрой и крепёж","true","0","5","0%","3","true","false","0","17","200","2026-05-25"
"/kalkulyatory/otdelka/oboi/","Калькулятор обоев","calculator","Обои","true","2","452","0.4%","36.4","true","false","1","14","200","2026-05-25"
"/kalkulyatory/otdelka/otdelka-balkona/","Калькулятор обшивки балкона","calculator","Комплексная отделка помещений","true","12","290","4.1%","9.7","true","false","0","3","200","2026-05-25"
"/kalkulyatory/otdelka/otdelka-mansardy/","Калькулятор утепления мансарды","calculator","Комплексная отделка помещений","true","1","4","25%","3.3","true","false","0","3","200","2026-05-25"
"/kalkulyatory/otdelka/otkosy-okon-i-dverej/","Калькулятор материалов для откосов","calculator","Окна, двери и откосы","true","1","24","4.2%","28.3","true","false","1","2","200","2026-05-25"
"/kalkulyatory/otdelka/shpaklevka/","Калькулятор шпаклёвки","calculator","Штукатурка и малярная отделка","true","2","846","0.2%","16","true","false","3","17","200","2026-05-25"
"/kalkulyatory/otdelka/ustanovka-dverej/","Калькулятор материалов для установки дверей","calculator","Окна, двери и откосы","true","0","288","0%","6.9","true","false","0","1","200","2026-05-25"
"/kalkulyatory/otdelka/ustanovka-okon/","Калькулятор материалов для монтажа окон","calculator","Окна, двери и откосы","true","2","137","1.5%","9.8","true","false","0","3","200","2026-05-25"
"/kalkulyatory/otdelka/vannaya-komnata/","Калькулятор ванной комнаты","calculator","Комплексная отделка помещений","true","5","568","0.9%","18.3","true","false","0","15","200","2026-05-25"
"/kalkulyatory/otdelka/zvukoizolyaciya/","Калькулятор звукоизоляции","calculator","Комплексная отделка помещений","true","6","91","6.6%","13.4","true","false","0","2","200","2026-05-25"
"/kalkulyatory/poly/klej-dlya-plitki/","Калькулятор плиточного клея","calculator","Плитка и мокрые зоны","true","0","90","0%","16.3","true","false","3","14","200","2026-05-25"
"/kalkulyatory/poly/laminat/","Калькулятор ламината","calculator","Ламинат и покрытия пола","true","11","629","1.7%","21","true","false","5","12","200","2026-05-25"
"/kalkulyatory/poly/linoleum/","Калькулятор линолеума","calculator","Ламинат и покрытия пола","true","2","9","22.2%","5.4","true","false","0","2","200","2026-05-25"
"/kalkulyatory/poly/nalivnoy-pol/","Калькулятор наливного пола","calculator","Стяжка и тёплый пол","true","0","30","0%","7.2","true","false","0","6","200","2026-05-25"
"/kalkulyatory/poly/parket/","Калькулятор паркетной доски","calculator","Ламинат и покрытия пола","true","2","25","8%","6.3","true","false","0","4","200","2026-05-25"
"/kalkulyatory/poly/plitka/","Калькулятор плитки","calculator","Плитка и мокрые зоны","true","14","753","1.9%","14.2","true","false","3","18","200","2026-05-25"
"/kalkulyatory/poly/styazhka/","Калькулятор стяжки пола","calculator","Стяжка и тёплый пол","true","7","683","1%","21.3","true","false","2","15","200","2026-05-25"
"/kalkulyatory/poly/zatirka/","Калькулятор затирки для плитки","calculator","Плитка и мокрые зоны","true","0","124","0%","22.2","true","false","1","9","200","2026-05-25"
"/kalkulyatory/potolki/kassetnyi-potolok/","Калькулятор кассетного потолка","calculator","Потолки и светильники","true","0","8","0%","15.8","true","false","0","3","200","2026-05-25"
"/kalkulyatory/potolki/natyazhnoj-potolok/","Калькулятор натяжного потолка","calculator","Потолки и светильники","true","0","13","0%","17.5","true","false","0","4","200","2026-05-25"
"/kalkulyatory/potolki/podvesnoy-potolok-gkl/","Калькулятор потолка КНАУФ П 113","calculator","ГКЛ и раскладка листов","true","3","472","0.6%","15.8","true","false","0","6","200","2026-05-25"
"/kalkulyatory/potolki/reechnyj-potolok/","Калькулятор реечного потолка","calculator","Потолки и светильники","true","","","","","false","true","0","3","200","2026-05-25"
"/kalkulyatory/potolki/uteplenie-potolka/","Калькулятор утепления потолка","calculator","Фасад, каркас и утепление","true","","","","","false","true","0","8","200","2026-05-25"
"/kalkulyatory/steny/gazobeton/","Калькулятор газобетона","calculator","Кирпич и блоки","true","","","","","false","true","1","4","200","2026-05-25"
"/kalkulyatory/steny/gipsokarton/","Калькулятор гипсокартона","calculator","ГКЛ и раскладка листов","true","","","","","false","true","1","10","200","2026-05-25"
"/kalkulyatory/steny/karkasnyj-dom/","Калькулятор материалов каркасного дома","calculator","Фасад, каркас и утепление","true","7","145","4.8%","9.7","true","false","0","2","200","2026-05-25"
"/kalkulyatory/steny/kirpich/","Калькулятор кирпича","calculator","Кирпич и блоки","true","0","122","0%","10.7","true","false","2","13","200","2026-05-25"
"/kalkulyatory/steny/kladka-kirpicha/","Калькулятор кладки кирпича","calculator","Кирпич и блоки","true","0","3","0%","9.7","true","false","0","7","200","2026-05-25"
"/kalkulyatory/steny/paneli-dlya-sten/","Калькулятор панелей для стен","calculator","Панели и декоративные рейки","true","69","2592","2.7%","7","true","false","0","4","200","2026-05-25"
"/kalkulyatory/steny/penobloki/","Калькулятор пеноблоков и керамзитоблоков","calculator","Кирпич и блоки","true","0","11","0%","8.9","true","false","0","2","200","2026-05-25"
"/kalkulyatory/steny/peregorodki-iz-blokov/","Калькулятор перегородок из блоков","calculator","Кирпич и блоки","true","6","224","2.7%","13.1","true","false","0","2","200","2026-05-25"
"/kalkulyatory/steny/shtukaturka/","Калькулятор штукатурки","calculator","Штукатурка и малярная отделка","true","0","4","0%","2.8","true","false","1","16","200","2026-05-25"
